,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
1,University of Arizona (U of A),Economics,21000.0,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,-110.944859,32.224454
2,University of Arizona (U of A),Economics,19800.0,0.96,2020-2021,1st,,-110.944859,32.224454
3,University of Florida,ECE,22600.0,,2020-2021,1st,,-82.34826699999999,29.647456
4,University of Virginia (UVA),ECE,26000.0,1.14,2020-2021,1st,,-78.5039985,38.035165
5,"University of Wisconsin , Madison (UW)",,27333.0,1.2,2020-2021,,,-89.408095,43.073243500000004
6,Washington University in St. Louis (Wash U),olin,35000.0,1.69,2020-2021,1st,,-90.311359,38.648015
7,"University of Tennessee , Knoxville",Economics,18500.0,0.87,2020-2021,1st,,-83.930266,35.9530525
8,New York University (NYU),Computer Science ,32851.0,1.1,2020-2021,1st,,-73.9621555,40.807559499999996
9,New York University (NYU),Sociology,33500.0,1.13,2020-2021,1st,,-73.9621555,40.807559499999996
11,Wright State University (WSU),BMS,21157.0,1.07,2020-2021,1st,,-84.064915,39.781415499999994
13,Washington University in St. Louis (Wash U),Imaging Science in Engineering,31000.0,1.5,2020-2021,1st,Also received an enhancement to monthly base support to cover student health fee charges.,-90.311359,38.648015
14,University of Liverpool,Physics,18929.0,,2019-2020,1st,,-2.9682538125000004,53.405499500000005
15,University of Delaware (UD),Geography & Spatial Sciences,27000.0,1.06,2020-2021,2nd,,-75.74845024999999,39.679881249999994
16,"Stony Brook University , SUNY",biomedical engineering ,27000.0,0.97,2020-2021,,,-73.124151,40.914502
17,Yale University (YU),Classics,32700.0,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",-88.9972051619975,20.721291176
18,Tufts University (TU),Molecular Microbiology,35250.0,1.26,2020-2021,2nd,,-71.115059,42.40899
19,Albert Einstein College of Medicine,Biomedical Science,38000.0,,2020-2021,1st,,-73.8454565,40.85072
20,Cornell University (CU),Neuroscience,42230.0,1.74,2020-2021,2nd,,-74.08083,4.59889
21,Dalhousie University,Psychology and Neuroscience,10000.0,,2019-2020,1st,"Our funding is also capped. This means that even if we win grants in an amount that surpasses our funding cap then we get the award as an ""honourary"".",-63.590612,44.6370765
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,43380.0,1.55,2020-2021,3rd,,-71.0935805,42.358984
23,"University of California , Berkeley",Psychology,29000.0,1.04,2020-2021,1st,,-122.2591495,37.870498999999995
