,Unnamed: 0,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat,merged,counts,pay_sum,pay_average
0,1,University of Arizona (U of A),Economics,21000.0,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,-110.94485900000001,32.224453999999994,False,47,916922.0,19508.978723404256
2,3,University of Florida | university of florida,ECE,22600.0,,2020-2021,1st,,-82.34826699999998,29.647456,False,3,63624.0,21208.0
3,4,University of Virginia (UVA) | University of virginia,ECE,26000.0,1.14,2020-2021,1st,,-78.5039985,38.035165,False,78,1933259.0,24785.371794871793
4,5,"University of Wisconsin , Madison (UW) | University of Wisconsin Madison",,27333.0,1.2,2020-2021,,,-89.40809499999999,43.0732435,False,123,2775523.0,22565.227642276423
5,6,Washington University in St. Louis (Wash U),olin,35000.0,1.69,2020-2021,1st,,-90.311359,38.648015,False,61,1758382.0,28825.93442622951
6,7,"University of Tennessee , Knoxville",Economics,18500.0,0.87,2020-2021,1st,,-83.930266,35.953052500000005,False,49,1070391.0,21844.714285714286
7,8,New York University (NYU) | Columbia University,Computer Science ,32851.0,1.1,2020-2021,1st,,-73.96215550000001,40.8075595,False,72,2332712.0,32398.777777777777
9,11,Wright State University (WSU),BMS,21157.0,1.07,2020-2021,1st,,-84.064915,39.7814155,False,5,94332.0,18866.4
11,14,University of Liverpool,Physics,18929.0,,2019-2020,1st,,-2.9682538125000004,53.40549950000001,False,4,73923.0,18480.75
12,15,University of Delaware (UD) | University of Deleware,Geography & Spatial Sciences,27000.0,1.06,2020-2021,2nd,,-75.74845024999998,39.67988125,False,48,1230805.0,25641.770833333332
13,16,"Stony Brook University , SUNY",biomedical engineering ,27000.0,0.97,2020-2021,,,-73.124151,40.914502,False,49,1229010.0,25081.836734693876
14,17,Yale University (YU),Classics,32700.0,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",-88.99720516199751,20.721291175999998,False,91,3068887.0,33724.03296703297
15,18,Tufts University (TU),Molecular Microbiology,35250.0,1.26,2020-2021,2nd,,-71.115059,42.40899,False,30,841678.0,28055.933333333334
16,19,Albert Einstein College of Medicine,Biomedical Science,38000.0,,2020-2021,1st,,-73.8454565,40.85072,False,5,172000.0,34400.0
17,20,Cornell University (CU) | Columbia University (CU) | Clemson University (CU) | Teachers College Columbia University (CU) ,Neuroscience,42230.0,1.74,2020-2021,2nd,,-74.08083,4.59889,False,219,6709120.0,30635.25114155251
